"DATE","TIME PERIOD","US dollar/Euro ECB reference exchange rate (EXR.M.USD.EUR.SP00.A)"
"2013-12-31","2013Dec","1.3704"
"2014-01-31","2014Jan","1.3610"
"2014-02-28","2014Feb","1.3659"
"2014-03-31","2014Mar","1.3823"
"2014-04-30","2014Apr","1.3813"
"2014-05-31","2014May","1.3732"
"2014-06-30","2014Jun","1.3592"
"2014-07-31","2014Jul","1.3539"
"2014-08-31","2014Aug","1.3316"
"2014-09-30","2014Sep","1.2901"
"2014-10-31","2014Oct","1.2673"
"2014-11-30","2014Nov","1.2472"
"2014-12-31","2014Dec","1.2331"
"2015-01-31","2015Jan","1.1621"
"2015-02-28","2015Feb","1.1350"
"2015-03-31","2015Mar","1.0838"
"2015-04-30","2015Apr","1.0779"
"2015-05-31","2015May","1.1150"
"2015-06-30","2015Jun","1.1213"
"2015-07-31","2015Jul","1.0996"
"2015-08-31","2015Aug","1.1139"
"2015-09-30","2015Sep","1.1221"
"2015-10-31","2015Oct","1.1235"
"2015-11-30","2015Nov","1.0736"
"2015-12-31","2015Dec","1.0877"
"2016-01-31","2016Jan","1.0860"
"2016-02-29","2016Feb","1.1093"
"2016-03-31","2016Mar","1.1100"
"2016-04-30","2016Apr","1.1339"
"2016-05-31","2016May","1.1311"
"2016-06-30","2016Jun","1.1229"
"2016-07-31","2016Jul","1.1069"
"2016-08-31","2016Aug","1.1212"
"2016-09-30","2016Sep","1.1212"
"2016-10-31","2016Oct","1.1026"
"2016-11-30","2016Nov","1.0799"
"2016-12-31","2016Dec","1.0543"
"2017-01-31","2017Jan","1.0614"
"2017-02-28","2017Feb","1.0643"
"2017-03-31","2017Mar","1.0685"
"2017-04-30","2017Apr","1.0723"
"2017-05-31","2017May","1.1058"
"2017-06-30","2017Jun","1.1229"
"2017-07-31","2017Jul","1.1511"
"2017-08-31","2017Aug","1.1807"
"2017-09-30","2017Sep","1.1915"
"2017-10-31","2017Oct","1.1756"
"2017-11-30","2017Nov","1.1738"
"2017-12-31","2017Dec","1.1836"
"2018-01-31","2018Jan","1.2200"
"2018-02-28","2018Feb","1.2348"
"2018-03-31","2018Mar","1.2336"
"2018-04-30","2018Apr","1.2276"
"2018-05-31","2018May","1.1812"
"2018-06-30","2018Jun","1.1678"
"2018-07-31","2018Jul","1.1686"
"2018-08-31","2018Aug","1.1549"
"2018-09-30","2018Sep","1.1659"
"2018-10-31","2018Oct","1.1484"
"2018-11-30","2018Nov","1.1367"
"2018-12-31","2018Dec","1.1384"
"2019-01-31","2019Jan","1.1416"
"2019-02-28","2019Feb","1.1351"
"2019-03-31","2019Mar","1.1302"
"2019-04-30","2019Apr","1.1238"
"2019-05-31","2019May","1.1185"
"2019-06-30","2019Jun","1.1293"
"2019-07-31","2019Jul","1.1218"
"2019-08-31","2019Aug","1.1126"
"2019-09-30","2019Sep","1.1004"
"2019-10-31","2019Oct","1.1053"
"2019-11-30","2019Nov","1.1051"
"2019-12-31","2019Dec","1.1113"
"2020-01-31","2020Jan","1.1100"
"2020-02-29","2020Feb","1.0905"
"2020-03-31","2020Mar","1.1063"
"2020-04-30","2020Apr","1.0862"
"2020-05-31","2020May","1.0902"
"2020-06-30","2020Jun","1.1255"
"2020-07-31","2020Jul","1.1463"
"2020-08-31","2020Aug","1.1828"
"2020-09-30","2020Sep","1.1792"
"2020-10-31","2020Oct","1.1775"
"2020-11-30","2020Nov","1.1838"
"2020-12-31","2020Dec","1.2170"
"2021-01-31","2021Jan","1.2171"
"2021-02-28","2021Feb","1.2098"
"2021-03-31","2021Mar","1.1899"
"2021-04-30","2021Apr","1.1979"
"2021-05-31","2021May","1.2146"
"2021-06-30","2021Jun","1.2047"
"2021-07-31","2021Jul","1.1822"
"2021-08-31","2021Aug","1.1772"
"2021-09-30","2021Sep","1.1770"
"2021-10-31","2021Oct","1.1601"
"2021-11-30","2021Nov","1.1414"
"2021-12-31","2021Dec","1.1304"
"2022-01-31","2022Jan","1.1314"
"2022-02-28","2022Feb","1.1342"
"2022-03-31","2022Mar","1.1019"
"2022-04-30","2022Apr","1.0819"
"2022-05-31","2022May","1.0579"
"2022-06-30","2022Jun","1.0566"
"2022-07-31","2022Jul","1.0179"
"2022-08-31","2022Aug","1.0128"
"2022-09-30","2022Sep","0.9904"
"2022-10-31","2022Oct","0.9826"
"2022-11-30","2022Nov","1.0201"
"2022-12-31","2022Dec","1.0589"
"2023-01-31","2023Jan","1.0769"
"2023-02-28","2023Feb","1.0715"
"2023-03-31","2023Mar","1.0706"
"2023-04-30","2023Apr","1.0968"
"2023-05-31","2023May","1.0868"
