"DATE","TIME PERIOD","Euribor 1-year - Historical close, average of observations through period (FM.M.U2.EUR.RT.MM.EURIBOR1YD_.HSTA)"
"2021-02-28","2021Feb","-0.5008500"
"2021-03-31","2021Mar","-0.4867391"
"2021-04-30","2021Apr","-0.4835000"
"2021-05-31","2021May","-0.4806190"
"2021-06-30","2021Jun","-0.4838636"
"2021-07-31","2021Jul","-0.4907273"
"2021-08-31","2021Aug","-0.4982273"
"2021-09-30","2021Sep","-0.4923182"
"2021-10-31","2021Oct","-0.4767619"
"2021-11-30","2021Nov","-0.4870000"
"2021-12-31","2021Dec","-0.5019565"
"2022-01-31","2022Jan","-0.4766667"
"2022-02-28","2022Feb","-0.3352500"
"2022-03-31","2022Mar","-0.2373913"
"2022-04-30","2022Apr","0.0130526"
"2022-05-31","2022May","0.2865909"
"2022-06-30","2022Jun","0.8522273"
"2022-07-31","2022Jul","0.9915238"
"2022-08-31","2022Aug","1.2494783"
"2022-09-30","2022Sep","2.2330000"
"2022-10-31","2022Oct","2.6293810"
"2022-11-30","2022Nov","2.8283182"
"2022-12-31","2022Dec","3.0181429"
"2023-01-31","2023Jan","3.3370455"
"2023-02-28","2023Feb","3.5336000"
"2023-03-31","2023Mar","3.6466087"
"2023-04-30","2023Apr","3.7565556"
"2023-05-31","2023May","3.8622273"
"2023-06-30","2023Jun","4.0072727"
"2023-07-31","2023Jul","4.1490476"
"2023-08-31","2023Aug","4.0729565"
"2023-09-30","2023Sep","4.1491905"
"2023-10-31","2023Oct","4.1600000"
"2023-11-30","2023Nov","4.0220909"
"2023-12-31","2023Dec","3.6791053"
"2024-01-31","2024Jan","3.6092273"
"2024-02-29","2024Feb","3.6705238"
"2024-03-31","2024Mar","3.7178500"
"2024-04-30","2024Apr","3.7033333"
"2024-05-31","2024May","3.6801364"
"2024-06-30","2024Jun","3.6496000"
"2024-07-31","2024Jul","3.5259130"
"2024-08-31","2024Aug","3.1661364"
"2024-09-30","2024Sep","2.9360476"
"2024-10-31","2024Oct","2.6913043"
"2024-11-30","2024Nov","2.5055714"
"2024-12-31","2024Dec","2.4360500"
"2025-01-31","2025Jan","2.5252273"
"2025-02-28","2025Feb","2.4069500"
"2025-03-31","2025Mar","2.3983810"
"2025-04-30","2025Apr","2.1434000"
"2025-05-31","2025May","2.0805714"
"2025-06-30","2025Jun","2.0809048"
"2025-07-31","2025Jul","2.0790870"
"2025-08-31","2025Aug","2.1139048"
"2025-09-30","2025Sep","2.1715000"
"2025-10-31","2025Oct","2.1873043"
"2025-11-30","2025Nov","2.2169000"
"2025-12-31","2025Dec","2.2671429"
"2026-01-31","2026Jan","2.2450952"
"2026-02-28","2026Feb","2.2207000"
"2026-03-31","2026Mar","2.5651364"
"2026-04-30","2026Apr","2.7468000"
"2026-05-31","2026May","2.8042000"
"2026-06-30","2026Jun","2.7975909"
"2026-07-31","2026Jul","2.8550870"
