"DATE","TIME PERIOD","Euribor 3-month - Historical close, average of observations through period (FM.M.U2.EUR.RT.MM.EURIBOR3MD_.HSTA)"
"2008-09-30","2008Sep","5.0191818"
"2008-10-31","2008Oct","5.1130870"
"2008-11-30","2008Nov","4.2383000"
"2008-12-31","2008Dec","3.2926190"
"2009-01-31","2009Jan","2.4565238"
"2009-02-28","2009Feb","1.9430500"
"2009-03-31","2009Mar","1.6354545"
"2009-04-30","2009Apr","1.4223000"
"2009-05-31","2009May","1.2817000"
"2009-06-30","2009Jun","1.2279091"
"2009-07-31","2009Jul","0.9749565"
"2009-08-31","2009Aug","0.8604762"
"2009-09-30","2009Sep","0.7720909"
"2009-10-31","2009Oct","0.7375000"
"2009-11-30","2009Nov","0.7161905"
"2009-12-31","2009Dec","0.7120455"
"2010-01-31","2010Jan","0.6797500"
"2010-02-28","2010Feb","0.6617000"
"2010-03-31","2010Mar","0.6449565"
"2010-04-30","2010Apr","0.6447000"
"2010-05-31","2010May","0.6865238"
"2010-06-30","2010Jun","0.7275909"
"2010-07-31","2010Jul","0.8488182"
"2010-08-31","2010Aug","0.8955000"
"2010-09-30","2010Sep","0.8805000"
"2010-10-31","2010Oct","0.9976667"
"2010-11-30","2010Nov","1.0420455"
"2010-12-31","2010Dec","1.0216957"
"2011-01-31","2011Jan","1.0172381"
"2011-02-28","2011Feb","1.0867500"
"2011-03-31","2011Mar","1.1755217"
"2011-04-30","2011Apr","1.3212105"
"2011-05-31","2011May","1.4250909"
"2011-06-30","2011Jun","1.4885909"
"2011-07-31","2011Jul","1.5976190"
"2011-08-31","2011Aug","1.5520870"
"2011-09-30","2011Sep","1.5364545"
"2011-10-31","2011Oct","1.5758571"
"2011-11-30","2011Nov","1.4846818"
"2011-12-31","2011Dec","1.4260952"
"2012-01-31","2012Jan","1.2222273"
"2012-02-29","2012Feb","1.0482857"
"2012-03-31","2012Mar","0.8584545"
"2012-04-30","2012Apr","0.7443158"
"2012-05-31","2012May","0.6849091"
"2012-06-30","2012Jun","0.6588571"
"2012-07-31","2012Jul","0.4970455"
"2012-08-31","2012Aug","0.3323913"
"2012-09-30","2012Sep","0.2463000"
"2012-10-31","2012Oct","0.2079130"
"2012-11-30","2012Nov","0.1920000"
"2012-12-31","2012Dec","0.1854737"
"2013-01-31","2013Jan","0.2049091"
"2013-02-28","2013Feb","0.2233500"
"2013-03-31","2013Mar","0.2060500"
"2013-04-30","2013Apr","0.2089048"
"2013-05-31","2013May","0.2012273"
"2013-06-30","2013Jun","0.2102500"
"2013-07-31","2013Jul","0.2214348"
"2013-08-31","2013Aug","0.2258636"
"2013-09-30","2013Sep","0.2232381"
"2013-10-31","2013Oct","0.2258261"
"2013-11-30","2013Nov","0.2233810"
"2013-12-31","2013Dec","0.2735000"
"2014-01-31","2014Jan","0.2920455"
"2014-02-28","2014Feb","0.2881000"
"2014-03-31","2014Mar","0.3053333"
"2014-04-30","2014Apr","0.3297500"
"2014-05-31","2014May","0.3245714"
"2014-06-30","2014Jun","0.2414286"
"2014-07-31","2014Jul","0.2050435"
"2014-08-31","2014Aug","0.1915714"
"2014-09-30","2014Sep","0.0970909"
"2014-10-31","2014Oct","0.0826087"
"2014-11-30","2014Nov","0.0809000"
"2014-12-31","2014Dec","0.0809048"
"2015-01-31","2015Jan","0.0626667"
"2015-02-28","2015Feb","0.0482000"
"2015-03-31","2015Mar","0.0271818"
"2015-04-30","2015Apr","0.0047000"
"2015-05-31","2015May","-0.0103684"
"2015-06-30","2015Jun","-0.0139091"
"2015-07-31","2015Jul","-0.0187391"
"2015-08-31","2015Aug","-0.0276667"
"2015-09-30","2015Sep","-0.0370455"
